S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
4.166667, 5.833333, 0.515224, 0.848742, 1.4875961542129517, 0.6070071458816528, 3.4895637035369873, 2.0808074474334717,0.1384195089340210, 0.1617114543914795, 2.4761865139007568, 1.9315737485885620,6.00, 0.1515866229508197
4.166667, 6.666667, 0.471920, 0.849163, 1.4906327724456787, 0.6037943959236145, 3.5781271457672119, 2.0548288822174072,0.1426933556795120, 0.1395772397518158, 2.3071346282958984, 1.9002993106842041,6.00, 0.1515866229508197
4.166667, 7.500000, 0.433718, 0.843221, 1.4909454584121704, 0.6050226688385010, 3.6853661537170410, 2.0236179828643799,0.1512476950883865, 0.1254901289939880, 2.1301374435424805, 1.8322046995162964,4.00, 0.1515866229508197
4.166667, 8.333333, 0.399833, 0.831518, 1.4924768209457397, 0.6108788847923279, 3.7994010448455811, 1.9904396533966064,0.1629676818847656, 0.1217529177665710, 2.0175457000732422, 1.7701721191406250,4.00, 0.1515866229508197
4.166667, 9.166667, 0.369677, 0.814995, 1.4948675632476807, 0.6207655668258667, 3.9026110172271729, 1.9510447978973389,0.1763070821762085, 0.1214927434921265, 1.9093005657196045, 1.6921988725662231,6.00, 0.1515866229508197
4.166667, 10.000000, 0.342869, 0.794740, 1.4909491539001465, 0.6331759691238403, 3.9841413497924805, 1.9005165100097656,0.1906651854515076, 0.1236495748162270, 1.8167661428451538, 1.6105010509490967,4.00, 0.1515866229508197
4.166667, 10.833333, 0.319066, 0.771904, 1.4955356121063232, 0.6495454907417297, 4.1138014793395996, 1.8386226892471313,0.2058416157960892, 0.1258819252252579, 1.7342185974121094, 1.5244504213333130,4.00, 0.1515866229508197
4.166667, 11.666667, 0.297963, 0.747549, 1.4926389455795288, 0.6674782633781433, 4.1813139915466309, 1.7866883277893066,0.2222227007150650, 0.1376249492168427, 1.6701936721801758, 1.4484217166900635,4.00, 0.1515866229508197
4.166667, 12.500000, 0.279309, 0.722448, 1.4659671783447266, 0.6837012767791748, 4.1870284080505371, 1.7248721122741699,0.2395436316728592, 0.1587661206722260, 1.6268746852874756, 1.3933557271957397,4.00, 0.1515866229508197
4.166667, 13.333333, 0.262826, 0.697180, 1.4378515481948853, 0.6994705200195312, 4.1627335548400879, 1.6774321794509888,0.2586163580417633, 0.1934707164764404, 1.5853483676910400, 1.3451389074325562,4.00, 0.1515866229508197
4.166667, 14.166667, 0.248253, 0.672135, 1.4140989780426025, 0.7152102589607239, 4.1328659057617188, 1.6505472660064697,0.2793881297111511, 0.2338930070400238, 1.5500439405441284, 1.3095052242279053,5.00, 0.1515866229508197
4.166667, 15.000000, 0.235382, 0.647513, 1.3972793817520142, 0.7315517067909241, 4.1258597373962402, 1.6418792009353638,0.3001575469970703, 0.2684108018875122, 1.5162951946258545, 1.2819181680679321,5.00, 0.1515866229508197
4.166667, 15.833333, 0.224000, 0.623351, 1.3873993158340454, 0.7487596273422241, 4.1337442398071289, 1.6405615806579590,0.3214755058288574, 0.3006601929664612, 1.4877682924270630, 1.2645674943923950,5.00, 0.1515866229508197
4.166667, 16.666667, 0.213924, 0.599736, 1.3765373229980469, 0.7644044160842896, 4.1329188346862793, 1.6533941030502319,0.3421007096767426, 0.3265466690063477, 1.4764692783355713, 1.2707172632217407,4.00, 0.1515866229508197
5.000000, 0.833333, 0.848316, 0.556061, 1.4512736797332764, 0.7139970660209656, 2.7201454639434814, 2.1909930706024170,0.8466593623161316, 0.7802518010139465, 3.1133894920349121, 1.9214770793914795,3.00, 0.1515866229508197
5.000000, 1.666667, 0.798795, 0.662107, 1.5058928728103638, 0.6900374293327332, 2.8500800132751465, 2.2898495197296143,0.4191444814205170, 0.6230848431587219, 3.0984709262847900, 1.8750902414321899,3.00, 0.1515866229508197
5.000000, 2.500000, 0.752615, 0.736531, 1.5399539470672607, 0.6525935530662537, 3.0093791484832764, 2.2842082977294922,0.3139912188053131, 0.5481632947921753, 3.0323207378387451, 1.8723673820495605,5.00, 0.1515866229508197
5.000000, 3.333333, 0.696916, 0.777056, 1.5210375785827637, 0.6391030550003052, 3.1339409351348877, 2.2053861618041992,0.2330433726310730, 0.4359124004840851, 2.9431421756744385, 1.8719379901885986,4.00, 0.1515866229508197
5.000000, 4.166667, 0.639803, 0.800632, 1.5005437135696411, 0.6269214153289795, 3.2327730655670166, 2.1466515064239502,0.1775202900171280, 0.3160807490348816, 2.8637862205505371, 1.8819050788879395,3.00, 0.1515866229508197
5.000000, 5.000000, 0.586153, 0.816480, 1.4866415262222290, 0.6154022812843323, 3.2798650264739990, 2.1028270721435547,0.1503563821315765, 0.2275491207838058, 2.7756929397583008, 1.8892488479614258,4.00, 0.1515866229508197
5.000000, 5.833333, 0.537631, 0.826814, 1.4773911237716675, 0.6077820062637329, 3.3352580070495605, 2.0653026103973389,0.1432073861360550, 0.1894124895334244, 2.6732320785522461, 1.9036633968353271,5.00, 0.1515866229508197
5.000000, 6.666667, 0.494275, 0.830973, 1.4741752147674561, 0.6054893732070923, 3.4173867702484131, 2.0369899272918701,0.1447457820177078, 0.1757174283266068, 2.5784947872161865, 1.9173432588577271,6.00, 0.1515866229508197
5.000000, 7.500000, 0.455585, 0.828144, 1.4707137346267700, 0.6076770424842834, 3.5018203258514404, 2.0134608745574951,0.1503761261701584, 0.1684709489345551, 2.4645004272460938, 1.8991696834564209,5.00, 0.1515866229508197
5.000000, 8.333333, 0.420921, 0.818449, 1.4712219238281250, 0.6141892671585083, 3.5824856758117676, 1.9967559576034546,0.1589990705251694, 0.1662605553865433, 2.3048770427703857, 1.8312349319458008,3.00, 0.1515866229508197
5.000000, 9.166667, 0.389790, 0.802781, 1.4642026424407959, 0.6221336126327515, 3.6724569797515869, 1.9595412015914917,0.1698827594518661, 0.1700113117694855, 2.1594302654266357, 1.7389873266220093,4.00, 0.1515866229508197
5.000000, 10.000000, 0.361876, 0.782336, 1.4563196897506714, 0.6322085261344910, 3.7498977184295654, 1.9159827232360840,0.1823428124189377, 0.1769120693206787, 2.0603513717651367, 1.6508973836898804,4.00, 0.1515866229508197
