S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
5.833333, 4.166667, 0.709425, 0.769942, 1.5563490390777588, 0.2385063469409943, 3.0585272312164307, 2.9184241294860840,1.00, 0.2608524590163934
5.833333, 5.000000, 0.657232, 0.768117, 1.5570271015167236, 0.1888543069362640, 3.1433496475219727, 2.9453396797180176,1.00, 0.2608524590163934
5.833333, 5.833333, 0.609353, 0.765517, 1.5528935194015503, 0.1570373177528381, 3.1983673572540283, 2.9503188133239746,1.00, 0.2608524590163934
5.833333, 6.666667, 0.567773, 0.764162, 1.5491986274719238, 0.1380942463874817, 3.2508065700531006, 2.9467642307281494,1.00, 0.2608524590163934
5.833333, 7.500000, 0.532448, 0.762487, 1.5453541278839111, 0.1259350329637527, 3.3047413825988770, 2.9329202175140381,1.00, 0.2608524590163934
5.833333, 8.333333, 0.502304, 0.758340, 1.5425652265548706, 0.1184837073087692, 3.3265810012817383, 2.9136688709259033,1.00, 0.2608524590163934
5.833333, 9.166667, 0.476190, 0.750367, 1.5408179759979248, 0.1143123954534531, 3.3230481147766113, 2.8921210765838623,1.00, 0.2608524590163934
5.833333, 10.000000, 0.453259, 0.738016, 1.5384320020675659, 0.1124474853277206, 3.3374662399291992, 2.8707928657531738,1.00, 0.2608524590163934
5.833333, 10.833333, 0.432944, 0.721257, 1.5361200571060181, 0.1128026396036148, 3.3617701530456543, 2.8477590084075928,1.00, 0.2608524590163934
5.833333, 11.666667, 0.414905, 0.700609, 1.5342484712600708, 0.1149869486689568, 3.3962109088897705, 2.8196303844451904,1.00, 0.2608524590163934
5.833333, 12.500000, 0.398932, 0.677056, 1.5343589782714844, 0.1190381720662117, 3.4137110710144043, 2.7882590293884277,1.00, 0.2608524590163934
5.833333, 13.333333, 0.384864, 0.651927, 1.5352237224578857, 0.1241973116993904, 3.4228868484497070, 2.7560689449310303,1.00, 0.2608524590163934
5.833333, 14.166667, 0.372548, 0.626564, 1.5327326059341431, 0.1288857460021973, 3.4423067569732666, 2.7477102279663086,1.00, 0.2608524590163934
5.833333, 15.000000, 0.361849, 0.602029, 1.5293805599212646, 0.1336419731378555, 3.4696023464202881, 2.7454938888549805,1.00, 0.2608524590163934
5.833333, 15.833333, 0.352603, 0.579230, 1.5271478891372681, 0.1389410644769669, 3.4673342704772949, 2.7402007579803467,1.00, 0.2608524590163934
5.833333, 16.666667, 0.344642, 0.558726, 1.5239906311035156, 0.1440555155277252, 3.4525995254516602, 2.7419586181640625,1.00, 0.2608524590163934
