S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
3.75, 5.83, 0.609, 0.966, 0.689, 0.966, 0.587, 0.963, 0.683
3.75, 6.25, 0.596, 0.961, 0.675, 0.961, 0.575, 0.955, 0.684
3.75, 6.67, 0.584, 0.956, 0.662, 0.956, 0.563, 0.947, 0.685
3.75, 7.08, 0.574, 0.950, 0.651, 0.950, 0.553, 0.939, 0.685
3.75, 7.50, 0.564, 0.944, 0.640, 0.944, 0.544, 0.931, 0.686
3.75, 7.92, 0.556, 0.938, 0.630, 0.938, 0.537, 0.923, 0.686
3.75, 8.33, 0.549, 0.931, 0.620, 0.931, 0.530, 0.916, 0.686
4.17, 0.42, 0.992, 1.000, 0.994, 1.000, 0.992, 1.000, 0.601
4.17, 0.83, 0.960, 1.000, 0.970, 1.000, 0.958, 1.000, 0.605
4.17, 1.25, 0.928, 1.000, 0.946, 1.000, 0.923, 1.000, 0.610
4.17, 1.67, 0.894, 0.999, 0.922, 0.999, 0.887, 0.999, 0.616
4.17, 2.08, 0.861, 0.999, 0.897, 0.999, 0.851, 0.999, 0.622
4.17, 2.50, 0.829, 0.998, 0.872, 0.998, 0.817, 0.997, 0.628
4.17, 2.92, 0.798, 0.997, 0.848, 0.997, 0.785, 0.996, 0.632
4.17, 3.33, 0.770, 0.995, 0.825, 0.995, 0.756, 0.994, 0.636
4.17, 3.75, 0.745, 0.993, 0.803, 0.993, 0.729, 0.992, 0.639
4.17, 4.17, 0.722, 0.991, 0.782, 0.991, 0.706, 0.989, 0.642
4.17, 4.58, 0.701, 0.987, 0.763, 0.987, 0.684, 0.986, 0.644
4.17, 5.00, 0.682, 0.983, 0.745, 0.983, 0.665, 0.982, 0.646
4.17, 5.42, 0.665, 0.980, 0.729, 0.980, 0.649, 0.977, 0.648
4.17, 5.83, 0.650, 0.977, 0.714, 0.977, 0.633, 0.973, 0.650
4.17, 6.25, 0.637, 0.973, 0.700, 0.973, 0.620, 0.968, 0.652
4.17, 6.67, 0.625, 0.969, 0.688, 0.969, 0.608, 0.963, 0.655
4.17, 7.08, 0.614, 0.965, 0.677, 0.965, 0.597, 0.958, 0.657
4.17, 7.50, 0.604, 0.960, 0.666, 0.960, 0.588, 0.952, 0.659
4.17, 7.92, 0.595, 0.955, 0.657, 0.955, 0.579, 0.945, 0.661
4.17, 8.33, 0.587, 0.950, 0.648, 0.950, 0.571, 0.939, 0.662
4.58, 0.42, 0.994, 1.000, 0.995, 1.000, 0.994, 1.000, 0.579
4.58, 0.83, 0.967, 1.000, 0.973, 1.000, 0.966, 1.000, 0.581
4.58, 1.25, 0.940, 1.000, 0.952, 1.000, 0.937, 1.000, 0.584
4.58, 1.67, 0.911, 1.000, 0.929, 1.000, 0.906, 0.999, 0.588
4.58, 2.08, 0.882, 0.999, 0.906, 0.999, 0.875, 0.999, 0.591
4.58, 2.50, 0.853, 0.999, 0.883, 0.999, 0.845, 0.998, 0.595
4.58, 2.92, 0.826, 0.998, 0.861, 0.998, 0.817, 0.997, 0.598
4.58, 3.33, 0.801, 0.996, 0.839, 0.996, 0.790, 0.996, 0.601
4.58, 3.75, 0.777, 0.995, 0.818, 0.995, 0.766, 0.994, 0.604
4.58, 4.17, 0.755, 0.993, 0.799, 0.993, 0.743, 0.992, 0.607
4.58, 4.58, 0.735, 0.990, 0.780, 0.990, 0.723, 0.990, 0.609
4.58, 5.00, 0.716, 0.988, 0.763, 0.988, 0.704, 0.987, 0.612
4.58, 5.42, 0.699, 0.986, 0.747, 0.986, 0.687, 0.984, 0.615
4.58, 5.83, 0.684, 0.983, 0.733, 0.983, 0.671, 0.981, 0.619
4.58, 6.25, 0.670, 0.980, 0.720, 0.980, 0.657, 0.977, 0.622
4.58, 6.67, 0.658, 0.977, 0.708, 0.977, 0.644, 0.973, 0.626
4.58, 7.08, 0.646, 0.973, 0.697, 0.973, 0.633, 0.969, 0.629
4.58, 7.50, 0.636, 0.970, 0.687, 0.970, 0.623, 0.964, 0.633
4.58, 7.92, 0.627, 0.966, 0.677, 0.966, 0.613, 0.959, 0.637
4.58, 8.33, 0.618, 0.961, 0.669, 0.961, 0.605, 0.954, 0.640
5.00, 0.42, 0.995, 1.000, 0.995, 1.000, 0.995, 1.000, 0.557
5.00, 0.83, 0.973, 1.000, 0.976, 1.000, 0.972, 1.000, 0.558
5.00, 1.25, 0.949, 1.000, 0.956, 1.000, 0.947, 1.000, 0.559
5.00, 1.67, 0.923, 1.000, 0.935, 1.000, 0.920, 1.000, 0.561
5.00, 2.08, 0.898, 0.999, 0.914, 0.999, 0.893, 0.999, 0.564
5.00, 2.50, 0.872, 0.999, 0.892, 0.999, 0.867, 0.999, 0.566
5.00, 2.92, 0.848, 0.998, 0.871, 0.998, 0.841, 0.998, 0.568
5.00, 3.33, 0.824, 0.997, 0.851, 0.997, 0.817, 0.997, 0.570
5.00, 3.75, 0.802, 0.996, 0.831, 0.996, 0.794, 0.996, 0.572
5.00, 4.17, 0.781, 0.994, 0.812, 0.994, 0.773, 0.994, 0.575
5.00, 4.58, 0.762, 0.993, 0.794, 0.993, 0.753, 0.992, 0.578
5.00, 5.00, 0.744, 0.991, 0.778, 0.991, 0.735, 0.990, 0.581
5.00, 5.42, 0.727, 0.989, 0.763, 0.989, 0.718, 0.988, 0.585
5.00, 5.83, 0.712, 0.987, 0.749, 0.987, 0.702, 0.985, 0.589
5.00, 6.25, 0.698, 0.985, 0.736, 0.985, 0.688, 0.982, 0.594
5.00, 6.67, 0.685, 0.982, 0.724, 0.982, 0.674, 0.979, 0.599
5.00, 7.08, 0.673, 0.979, 0.713, 0.979, 0.663, 0.975, 0.604
5.00, 7.50, 0.662, 0.976, 0.703, 0.976, 0.652, 0.972, 0.609
5.00, 7.92, 0.653, 0.972, 0.694, 0.972, 0.642, 0.968, 0.614
5.00, 8.33, 0.644, 0.968, 0.685, 0.968, 0.633, 0.963, 0.618
5.42, 0.42, 0.996, 1.000, 0.996, 1.000, 0.996, 1.000, 0.536
5.42, 0.83, 0.977, 1.000, 0.978, 1.000, 0.976, 1.000, 0.536
5.42, 1.25, 0.956, 1.000, 0.960, 1.000, 0.955, 1.000, 0.537
5.42, 1.67, 0.933, 1.000, 0.940, 1.000, 0.931, 1.000, 0.538
5.42, 2.08, 0.910, 0.999, 0.920, 0.999, 0.908, 0.999, 0.539
5.42, 2.50, 0.887, 0.999, 0.899, 0.999, 0.884, 0.999, 0.540
5.42, 2.92, 0.865, 0.998, 0.879, 0.998, 0.861, 0.998, 0.541
5.42, 3.33, 0.843, 0.998, 0.860, 0.998, 0.839, 0.997, 0.543
5.42, 3.75, 0.822, 0.997, 0.841, 0.997, 0.817, 0.996, 0.545
5.42, 4.17, 0.803, 0.995, 0.823, 0.995, 0.797, 0.995, 0.547
5.42, 4.58, 0.784, 0.994, 0.806, 0.994, 0.778, 0.994, 0.550
5.42, 5.00, 0.766, 0.993, 0.790, 0.993, 0.760, 0.992, 0.554
5.42, 5.42, 0.750, 0.991, 0.775, 0.991, 0.743, 0.990, 0.558
5.42, 5.83, 0.735, 0.989, 0.761, 0.989, 0.728, 0.988, 0.563
5.42, 6.25, 0.721, 0.987, 0.749, 0.987, 0.713, 0.985, 0.569
5.42, 6.67, 0.708, 0.985, 0.737, 0.985, 0.700, 0.982, 0.574
5.42, 7.08, 0.696, 0.982, 0.726, 0.982, 0.687, 0.979, 0.580
5.42, 7.50, 0.685, 0.979, 0.717, 0.979, 0.676, 0.976, 0.586
5.42, 7.92, 0.674, 0.976, 0.708, 0.976, 0.666, 0.973, 0.592
5.42, 8.33, 0.665, 0.973, 0.699, 0.973, 0.656, 0.969, 0.598
5.83, 0.42, 0.996, 1.000, 0.996, 1.000, 0.996, 1.000, 0.517
5.83, 0.83, 0.980, 1.000, 0.980, 1.000, 0.980, 1.000, 0.517
5.83, 1.25, 0.961, 1.000, 0.963, 1.000, 0.961, 1.000, 0.517
5.83, 1.67, 0.941, 1.000, 0.944, 1.000, 0.940, 1.000, 0.517
5.83, 2.08, 0.920, 0.999, 0.925, 0.999, 0.919, 0.999, 0.518
5.83, 2.50, 0.899, 0.999, 0.905, 0.999, 0.897, 0.999, 0.518
5.83, 2.92, 0.878, 0.999, 0.886, 0.999, 0.876, 0.998, 0.519
5.83, 3.33, 0.858, 0.998, 0.868, 0.998, 0.856, 0.998, 0.520
5.83, 3.75, 0.839, 0.997, 0.849, 0.997, 0.836, 0.997, 0.522
5.83, 4.17, 0.820, 0.996, 0.832, 0.996, 0.817, 0.996, 0.524
5.83, 4.58, 0.802, 0.995, 0.816, 0.995, 0.798, 0.994, 0.527
5.83, 5.00, 0.785, 0.994, 0.800, 0.994, 0.781, 0.993, 0.531
5.83, 5.42, 0.769, 0.992, 0.786, 0.992, 0.765, 0.991, 0.536
5.83, 5.83, 0.754, 0.991, 0.773, 0.991, 0.749, 0.989, 0.541
5.83, 6.25, 0.740, 0.989, 0.760, 0.989, 0.735, 0.987, 0.547
5.83, 6.67, 0.727, 0.987, 0.749, 0.987, 0.721, 0.985, 0.553
5.83, 7.08, 0.715, 0.984, 0.738, 0.984, 0.709, 0.982, 0.560
5.83, 7.50, 0.703, 0.982, 0.728, 0.982, 0.697, 0.979, 0.566
5.83, 7.92, 0.693, 0.979, 0.719, 0.979, 0.686, 0.976, 0.573
5.83, 8.33, 0.683, 0.976, 0.711, 0.976, 0.676, 0.973, 0.579
6.25, 0.42, 0.997, 1.000, 0.996, 1.000, 0.997, 1.000, 0.500
6.25, 0.83, 0.982, 1.000, 0.981, 1.000, 0.982, 1.000, 0.500
6.25, 1.25, 0.965, 1.000, 0.965, 1.000, 0.966, 1.000, 0.500
6.25, 1.67, 0.947, 1.000, 0.947, 1.000, 0.947, 1.000, 0.500
6.25, 2.08, 0.928, 1.000, 0.929, 1.000, 0.927, 0.999, 0.500
6.25, 2.50, 0.908, 0.999, 0.910, 0.999, 0.908, 0.999, 0.500
6.25, 2.92, 0.889, 0.999, 0.892, 0.999, 0.889, 0.999, 0.500
6.25, 3.33, 0.870, 0.998, 0.874, 0.998, 0.869, 0.998, 0.501
6.25, 3.75, 0.852, 0.997, 0.857, 0.997, 0.851, 0.997, 0.502
6.25, 4.17, 0.834, 0.997, 0.840, 0.997, 0.833, 0.996, 0.505
6.25, 4.58, 0.817, 0.996, 0.825, 0.996, 0.815, 0.995, 0.508
6.25, 5.00, 0.801, 0.994, 0.810, 0.994, 0.799, 0.993, 0.512
6.25, 5.42, 0.785, 0.993, 0.796, 0.993, 0.783, 0.992, 0.516
6.25, 5.83, 0.771, 0.991, 0.783, 0.991, 0.767, 0.990, 0.522
6.25, 6.25, 0.757, 0.990, 0.771, 0.990, 0.753, 0.988, 0.528
6.25, 6.67, 0.744, 0.988, 0.759, 0.988, 0.740, 0.986, 0.535
6.25, 7.08, 0.731, 0.985, 0.749, 0.985, 0.727, 0.984, 0.541
6.25, 7.50, 0.720, 0.983, 0.739, 0.983, 0.715, 0.981, 0.549
6.25, 7.92, 0.709, 0.981, 0.730, 0.981, 0.704, 0.978, 0.556
6.25, 8.33, 0.699, 0.978, 0.722, 0.978, 0.693, 0.975, 0.563
6.67, 0.42, 0.997, 1.000, 0.997, 1.000, 0.997, 1.000, 0.485
6.67, 0.83, 0.984, 1.000, 0.982, 1.000, 0.984, 1.000, 0.485
6.67, 1.25, 0.969, 1.000, 0.967, 1.000, 0.969, 1.000, 0.485
6.67, 1.67, 0.952, 1.000, 0.950, 1.000, 0.952, 1.000, 0.484
6.67, 2.08, 0.934, 1.000, 0.933, 1.000, 0.935, 1.000, 0.484
6.67, 2.50, 0.916, 0.999, 0.915, 0.999, 0.917, 0.999, 0.484
6.67, 2.92, 0.898, 0.999, 0.897, 0.999, 0.899, 0.999, 0.484
6.67, 3.33, 0.881, 0.998, 0.880, 0.998, 0.881, 0.998, 0.485
6.67, 3.75, 0.863, 0.997, 0.864, 0.997, 0.863, 0.997, 0.486
6.67, 4.17, 0.847, 0.997, 0.848, 0.997, 0.846, 0.996, 0.489
6.67, 4.58, 0.830, 0.996, 0.833, 0.996, 0.830, 0.995, 0.491
6.67, 5.00, 0.815, 0.995, 0.818, 0.995, 0.814, 0.994, 0.495
